Code,Area,Year,Affordable Housing Supply
E09000030,Tower Hamlets,2011-12,"1,812"
E09000031,Waltham Forest,2011-12,641
E09000032,Wandsworth,2011-12,426
E09000033,Westminster,2011-12,187
E12000007,London,2011-12,"17,435"
E92000001,England,2011-12,"58,327"
E09000001,City of London,2012-13,10
E09000002,Barking and Dagenham,2012-13,114
E09000003,Barnet,2012-13,357
E09000004,Bexley,2012-13,172
E09000005,Brent,2012-13,530
E09000006,Bromley,2012-13,358
E09000007,Camden,2012-13,479
E09000008,Croydon,2012-13,284
E09000009,Ealing,2012-13,196
E09000010,Enfield,2012-13,152
E09000011,Greenwich,2012-13,291
E09000012,Hackney,2012-13,601
E09000013,Hammersmith and Fulham,2012-13,107
E09000014,Haringey,2012-13,387
E09000015,Harrow,2012-13,299
E09000016,Havering,2012-13,456
E09000017,Hillingdon,2012-13,202
E09000018,Hounslow,2012-13,81
E09000019,Islington,2012-13,400
E09000020,Kensington and Chelsea,2012-13,142
E09000021,Kingston upon Thames,2012-13,19
E09000022,Lambeth,2012-13,319
E09000023,Lewisham,2012-13,684
E09000024,Merton,2012-13,198
E09000025,Newham,2012-13,285
E09000026,Redbridge,2012-13,136
